rank,feature_name,mi_score,selected_for_final_model
1,D425,0.08128111586257214,True
2,D547,0.07945188971142136,True
3,D201,0.0746678014066946,True
4,D185,0.07405063603148632,True
5,D233,0.07347173289664966,True
6,D426,0.07341764388428329,True
7,D420,0.07078958365905619,True
8,D721,0.06965946112160304,True
9,D149,0.06781522107958904,True
10,D088,0.06758327339838144,True
11,D315,0.06672217929963042,True
12,D549,0.0658562071674762,True
13,D316,0.06582198613453061,True
14,D407,0.06509329237200889,True
15,D704,0.0632855416192406,True
16,D271,0.06091938514056916,True
17,D141,0.0608764747310957,True
18,D303,0.06026037348661495,True
19,D191,0.05995010927754696,True
20,D296,0.05955923274626951,True
21,D513,0.05937330317179779,True
22,D746,0.057380718352620486,True
23,D224,0.05648467959786729,True
24,D213,0.056165815403032227,True
25,D190,0.055907000924924066,True
26,D444,0.05522343056074552,True
27,D416,0.05499761197355424,True
28,D298,0.05444519302384254,True
29,D161,0.05442127387018081,True
30,D245,0.054129058544261754,True
31,D546,0.054000918272732124,True
32,D556,0.05388027046271304,True
33,D437,0.05386026627389873,True
34,D113,0.05335923132667064,True
35,D131,0.05308596006376143,True
36,D594,0.05225759496100002,True
37,D348,0.05212672606207458,True
38,D272,0.05202703922907981,True
39,D367,0.05200979704985431,True
40,D214,0.05169280382276087,True
41,D589,0.05114370256145362,True
42,D123,0.05107188168206278,True
43,D521,0.05087995009002322,True
44,D167,0.050482659339776914,True
45,D314,0.050451875515294065,True
46,D424,0.050170639209804246,True
47,D267,0.049363326968396404,True
48,D523,0.04910175832605845,True
49,D428,0.049054614979866074,True
50,D156,0.04891391098145026,True
51,D611,0.048821400067473375,False
52,D404,0.0487045750638313,False
53,D291,0.04868397397217672,False
54,D164,0.04850795405860153,False
55,D148,0.048496037276335446,False
56,D434,0.04830747903071542,False
57,D574,0.04770398026982625,False
58,D262,0.04767596727213741,False
59,D519,0.04727931539504371,False
60,D709,0.04678132926327261,False
61,D183,0.046445990002139226,False
62,D238,0.046247625980501805,False
63,D650,0.04618700219363436,False
64,D081,0.04600857377766854,False
65,D265,0.04598200732108659,False
66,D441,0.04576298031499837,False
67,D516,0.04528406545006858,False
68,D033,0.04480399834245108,False
69,D150,0.044668569285441606,False
70,D477,0.04449690276296048,False
71,D573,0.04446804699712348,False
72,D760,0.04433445733485142,False
73,D242,0.04428619855449378,False
74,D435,0.04423282228846026,False
75,D172,0.04370741851251014,False
76,D417,0.043293239842033815,False
77,D186,0.04327028343063044,False
78,D520,0.04324746477872621,False
79,D193,0.043178275590873394,False
80,D263,0.04292365630892814,False
81,D302,0.042865722638061765,False
82,D274,0.04269872547054687,False
83,D153,0.04269606209569732,False
84,D745,0.04250742501007032,False
85,D708,0.04227550491133969,False
86,D168,0.04215859123033594,False
87,D301,0.04203732618568501,False
88,D226,0.041958814174107184,False
89,D749,0.04139187854590487,False
90,D243,0.041011756289641266,False
91,D169,0.04099010842585704,False
92,D429,0.04093454006500852,False
93,D319,0.04085773591066033,False
94,D443,0.04072193218805742,False
95,D464,0.040667838157666836,False
96,D620,0.04065295175106698,False
97,D223,0.040577432312230544,False
98,D182,0.04045677741463538,False
99,D346,0.04001018570279524,False
100,D321,0.03979243059003834,False
101,D197,0.039404907829794666,False
102,D202,0.039046406934739375,False
103,D673,0.038588001591916,False
104,D565,0.038454498095337186,False
105,D774,0.0382561781677524,False
106,D583,0.038183442225834474,False
107,D195,0.03794523856374066,False
108,D347,0.037737637327516005,False
109,D277,0.03746291808556257,False
110,D578,0.037449705372152975,False
111,D200,0.03712306633798357,False
112,D063,0.037075128764386456,False
113,D667,0.037047624670281776,False
114,D058,0.03703888913418618,False
115,D240,0.03701468592968138,False
116,D234,0.03685331592046959,False
117,D585,0.03631118684887236,False
118,D098,0.036187987784681575,False
119,D777,0.03612023088410621,False
120,D530,0.0357679691365298,False
121,D576,0.03572877394520302,False
122,D312,0.035623752762462324,False
123,D198,0.035491085209189865,False
124,D600,0.035419977093634314,False
125,D122,0.035056585517521555,False
126,D320,0.034892950494786135,False
127,D145,0.03486124965118553,False
128,D732,0.034838517301143845,False
129,D491,0.03477900712192872,False
130,D493,0.034680624062434884,False
131,D199,0.03466001588284229,False
132,D517,0.03457988829627423,False
133,D227,0.03448087359095031,False
134,D389,0.034283778318291214,False
135,D403,0.033848230132563994,False
136,D651,0.03372901647982207,False
137,D019,0.03364232104669074,False
138,D679,0.03352440987842975,False
139,D192,0.03338190828085086,False
140,D550,0.033261216908620606,False
141,D756,0.03320834947965312,False
142,D542,0.03311608791040754,False
143,D755,0.03308427946329817,False
144,D327,0.03302299303245615,False
145,D421,0.0329975338108619,False
146,D555,0.032987050972514975,False
147,D165,0.032986397163433656,False
148,D483,0.03285302730825079,False
149,D696,0.032838262768523974,False
150,D504,0.03281001820909424,False
151,D730,0.03272838786701704,False
152,D728,0.03261400948914717,False
153,D239,0.03234606869063339,False
154,D702,0.03232566042041363,False
155,D282,0.032320187447139936,False
156,D124,0.03230082899489317,False
157,D311,0.032221039185979405,False
158,D095,0.03209974955620787,False
159,D473,0.032026100861756834,False
160,D694,0.031895335247572154,False
161,D430,0.031539379630473485,False
162,D362,0.031286582340220415,False
163,D048,0.031183290719043466,False
164,D563,0.031170867297988458,False
165,D433,0.031133468634563677,False
166,D601,0.03089341905934151,False
167,D011,0.030816080354883146,False
168,D087,0.030795618686366044,False
169,D171,0.03066831386485802,False
170,D166,0.030629954591918196,False
171,D020,0.030474810241969408,False
172,D253,0.030279176860441126,False
173,D329,0.03026091949159304,False
174,D577,0.030247170200795814,False
175,D203,0.030219702237189505,False
176,D228,0.03000071247285474,False
177,D255,0.02996793552499666,False
178,D335,0.02995666570047928,False
179,D261,0.029841012083624552,False
180,D747,0.029693487483039016,False
181,D621,0.02968248398934148,False
182,D307,0.029665288226719655,False
183,D385,0.029576624782366112,False
184,D649,0.029548335760748223,False
185,D412,0.02941512114778888,False
186,D045,0.029389462094205898,False
187,D475,0.029268309301886397,False
188,D220,0.029178838462104117,False
189,D438,0.028774425095608347,False
190,D218,0.0287639844030263,False
191,D449,0.028716324455500875,False
192,D269,0.02867096430714655,False
193,D230,0.02865259605263848,False
194,D147,0.028485148038143837,False
195,D254,0.0284283163389889,False
196,D479,0.028287216471113874,False
197,D566,0.028258361707689028,False
198,D133,0.02817621053550101,False
199,D219,0.028039559514110968,False
200,D497,0.027802364586883455,False
201,D744,0.027695243008134973,False
202,D560,0.027668819493804397,False
203,D419,0.027642374110835588,False
204,D508,0.027630859574141242,False
205,D492,0.027420627227751737,False
206,D567,0.027412030507322438,False
207,D151,0.02739100478756873,False
208,D532,0.02725054587450848,False
209,D579,0.027249492350587712,False
210,D514,0.02720556709290256,False
211,D365,0.027136047201258506,False
212,D054,0.027012305002881876,False
213,D559,0.02687761916437137,False
214,D188,0.026756452282101995,False
215,D276,0.02652627188519685,False
216,D155,0.026518852495098777,False
217,D159,0.026488715572650312,False
218,D040,0.026263306634767725,False
219,D016,0.026203911790713796,False
220,D013,0.02616554704884888,False
221,D451,0.02594222254491374,False
222,D136,0.025834362994230586,False
223,D540,0.02566706330315549,False
224,D049,0.025544724840046662,False
225,D187,0.025519287817808323,False
226,D247,0.025514232633870204,False
227,D415,0.025251805416795614,False
228,D225,0.025238359449381687,False
229,D184,0.025236969093181516,False
230,D317,0.02520421993356825,False
231,D646,0.025175900544286645,False
232,D295,0.025129907723177025,False
233,D423,0.025123022380197257,False
234,D627,0.0248689863885998,False
235,D476,0.02473600592136216,False
236,D297,0.024684491594443303,False
237,D562,0.024456224326850462,False
238,D610,0.024350706557326296,False
239,D100,0.024167058499846794,False
240,D007,0.024090436032836005,False
241,D457,0.024083898950453042,False
242,D363,0.0240596385812335,False
243,D453,0.024047010162629334,False
244,D360,0.023873771536964128,False
245,D170,0.0238006956746033,False
246,D196,0.02377825595275551,False
247,D662,0.023697358475516017,False
248,D545,0.023669247616606492,False
249,D533,0.023639270827317427,False
250,D450,0.023466547185326148,False
251,D374,0.02338653038850147,False
252,D391,0.023118242864476946,False
253,D672,0.023089299160294674,False
254,D571,0.02298613298926977,False
255,D472,0.022784003695158095,False
256,D152,0.02272413682775576,False
257,D177,0.022540664344272265,False
258,D447,0.022511187803049282,False
259,D189,0.02250454801717927,False
260,D482,0.022497112311010925,False
261,D719,0.022484408435081704,False
262,D246,0.022263616160913324,False
263,D598,0.022226872765431782,False
264,D273,0.022219642861101452,False
265,D731,0.022152212747517552,False
266,D305,0.02201241966364842,False
267,D055,0.02198275650336745,False
268,D655,0.021969130163611572,False
269,D427,0.02195449017166462,False
270,D764,0.021843281666511727,False
271,D140,0.021701729893107702,False
272,D025,0.02165538466606942,False
273,D268,0.021609559325945327,False
274,D456,0.02154246185447173,False
275,D564,0.021417044521283568,False
276,D111,0.021371629775579715,False
277,D135,0.021331137801539946,False
278,D534,0.02127926772589528,False
279,D432,0.02125925730092626,False
280,D059,0.0212166134502203,False
281,D324,0.02102260110709353,False
282,D351,0.020876902563593536,False
283,D318,0.02087509791083475,False
284,D043,0.020725366493914654,False
285,D102,0.020177623640310394,False
286,D143,0.02016023001051237,False
287,D041,0.019914356842679837,False
288,D134,0.019883544493804806,False
289,D326,0.019857717335244995,False
290,D665,0.01984118708826066,False
291,D619,0.01982746701601612,False
292,D125,0.019805515551238217,False
293,D748,0.0198055065992222,False
294,D290,0.019776028376234045,False
295,D554,0.01976889567954343,False
296,D740,0.019755621479514485,False
297,D160,0.019677315454441624,False
298,D754,0.01950785665594945,False
299,D689,0.019299714266954204,False
300,D671,0.019292036975892213,False
301,D010,0.019281628626770297,False
302,D446,0.01912429971066687,False
303,D581,0.01903609961531827,False
304,D591,0.018994071815645164,False
305,D751,0.01894426752104894,False
306,D481,0.018901595040688113,False
307,D729,0.018890253538296875,False
308,D753,0.01882949095626918,False
309,D077,0.01881718921896791,False
310,D018,0.018800311729800567,False
311,D529,0.018791216079506512,False
312,D706,0.018689589004280638,False
313,D336,0.01867483866592967,False
314,D486,0.018633749540970967,False
315,D624,0.018494818293012028,False
316,D767,0.018484503578979794,False
317,D306,0.018384560619260748,False
318,D431,0.018224254141465224,False
319,D237,0.01813760195266112,False
320,D539,0.018079026191232028,False
321,D281,0.01793680768152406,False
322,D176,0.01787639234057803,False
323,D210,0.01785197621772805,False
324,D715,0.01776227813595188,False
325,D256,0.01773385144589379,False
326,D469,0.017663713082538113,False
327,D687,0.01740826906628623,False
328,D470,0.017387086001757535,False
329,D211,0.017208601823323066,False
330,D175,0.017195984160611966,False
331,D060,0.01710560931194105,False
332,D518,0.017073287414009153,False
333,D338,0.017040578712518295,False
334,D681,0.016955120249117828,False
335,D309,0.01692852577136139,False
336,D334,0.016828887927863745,False
337,D092,0.016794014636084986,False
338,D286,0.016779496812988848,False
339,D699,0.016626050692261973,False
340,D544,0.01658037875667051,False
341,D279,0.016574953969972217,False
342,D632,0.01656316562934612,False
343,D617,0.016238849954999246,False
344,D463,0.016145984491485077,False
345,D460,0.016023188370176022,False
346,D380,0.01599757568366078,False
347,D285,0.015944333351231688,False
348,D496,0.01589286712190985,False
349,D204,0.015891414426912887,False
350,D388,0.015872947423581474,False
351,D597,0.015644387895874967,False
352,D643,0.015586667982566693,False
353,D462,0.01552979576001623,False
354,D570,0.015234490660749334,False
355,D369,0.015127306011845532,False
356,D713,0.015119272638772552,False
357,D275,0.014884873090659223,False
358,D607,0.01486241984260861,False
359,D323,0.014528131959424595,False
360,D633,0.014520449735354157,False
361,D357,0.014433946341514847,False
362,D349,0.014425864720491122,False
363,D593,0.014359947741189538,False
364,D409,0.014351709692724812,False
365,D670,0.01430747774953156,False
366,D009,0.01430587644700032,False
367,D117,0.014046380985287987,False
368,D129,0.013879939352348325,False
369,D221,0.01371210762313635,False
370,D461,0.013655683230961335,False
371,D109,0.01340131700481928,False
372,D370,0.013341424680086922,False
373,D094,0.013218222163132287,False
374,D070,0.013182306536461574,False
375,D333,0.013167900762208529,False
376,D343,0.013087630457611077,False
377,D270,0.013076559592319237,False
378,D503,0.012931911838771404,False
379,D436,0.012892333411495871,False
380,D625,0.012820856457382623,False
381,D158,0.012799942595912883,False
382,D283,0.012768538808227703,False
383,D485,0.012663639795971404,False
384,D448,0.012658068093042818,False
385,D330,0.012639553533919878,False
386,D008,0.012635016640288432,False
387,D132,0.012553911508695448,False
388,D180,0.012524539579486849,False
389,D495,0.012517152439348811,False
390,D606,0.012512926101676092,False
391,D714,0.012488706468974264,False
392,D313,0.012421502011628283,False
393,D208,0.012389632261747385,False
394,D771,0.012296107820728874,False
395,D605,0.012253759792347108,False
396,D096,0.012183561254918152,False
397,D707,0.011972108523850888,False
398,D356,0.011939704044897415,False
399,D026,0.011884291276293313,False
400,D558,0.011868119927891607,False
401,D587,0.01139499811147715,False
402,D359,0.011358195771292268,False
403,D408,0.011334875790992793,False
404,D526,0.011317803932488824,False
405,D527,0.011281240068517606,False
406,D548,0.011255393050067841,False
407,D235,0.011206300361776611,False
408,D531,0.011199992833658579,False
409,D022,0.011173327191034366,False
410,D222,0.011095414364085565,False
411,D179,0.010957195908070094,False
412,D375,0.010919122172738271,False
413,D299,0.010862672380062888,False
414,D638,0.010752142169017986,False
415,D414,0.010703876285327762,False
416,D653,0.010694935489955038,False
417,D660,0.010552041239424659,False
418,D194,0.010451203826707056,False
419,D557,0.010389549351336402,False
420,D392,0.01027774958141725,False
421,D406,0.01023206890993289,False
422,D711,0.010133567230306673,False
423,D664,0.009859045279931422,False
424,D515,0.009771397734186005,False
425,D332,0.009712740805193576,False
426,D668,0.009615605140904426,False
427,D280,0.009568373463313407,False
428,D002,0.009560997155726225,False
429,D698,0.00949852607412871,False
430,D635,0.009478501547250495,False
431,D613,0.009294474649152562,False
432,D080,0.009245278592343587,False
433,D645,0.009184477609608388,False
434,D173,0.009112475337717196,False
435,D703,0.009068299699296567,False
436,D422,0.008974256153069682,False
437,D264,0.008888664871531171,False
438,D471,0.008881860878275472,False
439,D478,0.008804968913314504,False
440,D678,0.008714886174208347,False
441,D736,0.00866482983282002,False
442,D623,0.0086333431647303,False
443,D489,0.008530461385437782,False
444,D217,0.00830716703832346,False
445,D528,0.008260772196347466,False
446,D615,0.008229545756938128,False
447,D108,0.008099747540275537,False
448,D215,0.008088497184978838,False
449,D015,0.007961899692036534,False
450,D310,0.007891854549736399,False
451,D128,0.007857732952663454,False
452,D181,0.007806880416340478,False
453,D399,0.00779427011167555,False
454,D046,0.007686396608758583,False
455,D028,0.007643909740815635,False
456,D232,0.007484837544590839,False
457,D675,0.007256442209113478,False
458,D602,0.00697094156298661,False
459,D266,0.006849481372275923,False
460,D288,0.006783478870033166,False
461,D590,0.006718986865835941,False
462,D364,0.006552534566572676,False
463,D739,0.006544699921113395,False
464,D004,0.006270023638473621,False
465,D157,0.006212505819402692,False
466,D260,0.006057049778785961,False
467,D725,0.005681544128603555,False
468,D212,0.005533097771858397,False
469,D304,0.005489170964777967,False
470,D582,0.005463343987219815,False
471,D035,0.005373417763080646,False
472,D628,0.005324265161916086,False
473,D355,0.005172292855320615,False
474,D257,0.004978077194555119,False
475,D074,0.004860738783258656,False
476,D342,0.0047680631194497725,False
477,D494,0.004726637377305609,False
478,D705,0.004429977563067178,False
479,D402,0.004324526485778968,False
480,D580,0.004298422455940809,False
481,D604,0.004208201436232795,False
482,D101,0.004111751602920988,False
483,D154,0.004109322943619542,False
484,D631,0.004091184126892022,False
485,D052,0.004057677339174948,False
486,D378,0.0034939719943374303,False
487,D377,0.0031517107620713247,False
488,D466,0.0029682035502014426,False
489,D616,0.0027949319035989184,False
490,D162,0.002761478978493548,False
491,D584,0.002498675099227299,False
492,D229,0.002309051597267908,False
493,D445,0.0023081796382982134,False
494,D093,0.0022668509270795667,False
495,D762,0.0022114271977407007,False
496,D005,0.0021898059496852085,False
497,D768,0.0021890702763522896,False
498,D337,0.0020992155909020926,False
499,D368,0.0020393124036974797,False
500,D126,0.0019380252855241142,False
501,D603,0.001933003538355793,False
502,D387,0.0018772552788306474,False
503,D467,0.0018227073540162397,False
504,D024,0.0017940092152581855,False
505,D553,0.0017158237458607672,False
506,D119,0.001201960330374785,False
507,D127,0.001125051884443673,False
508,D250,0.0009973797175424348,False
509,D014,0.000881172627639426,False
510,D030,0.0008275668149420046,False
511,D097,0.0007616985901448547,False
512,D066,0.0006805548833126451,False
513,D701,0.0005756556131462087,False
514,D536,0.000551886782115707,False
515,D293,0.0003716293244910851,False
516,D724,0.0003162368825087025,False
517,D278,0.000275525561560519,False
518,D372,0.0002635705704154834,False
519,D647,0.0002576984892730394,False
520,D720,6.73651118119345e-05,False
521,D163,0.0,False
522,D012,0.0,False
523,D023,0.0,False
524,D017,0.0,False
525,D757,0.0,False
526,D752,0.0,False
527,D174,0.0,False
528,D758,0.0,False
529,D021,0.0,False
530,D003,0.0,False
531,D006,0.0,False
532,D084,0.0,False
533,D027,0.0,False
534,D069,0.0,False
535,D105,0.0,False
536,D106,0.0,False
537,D107,0.0,False
538,D110,0.0,False
539,D112,0.0,False
540,D114,0.0,False
541,D115,0.0,False
542,D065,0.0,False
543,D068,0.0,False
544,D116,0.0,False
545,D118,0.0,False
546,D120,0.0,False
547,D121,0.0,False
548,D067,0.0,False
549,D071,0.0,False
550,D104,0.0,False
551,D072,0.0,False
552,D103,0.0,False
553,D073,0.0,False
554,D075,0.0,False
555,D099,0.0,False
556,D769,0.0,False
557,D076,0.0,False
558,D078,0.0,False
559,D090,0.0,False
560,D079,0.0,False
561,D089,0.0,False
562,D770,0.0,False
563,D086,0.0,False
564,D082,0.0,False
565,D083,0.0,False
566,D766,0.0,False
567,D064,0.0,False
568,D759,0.0,False
569,D775,0.0,False
570,D039,0.0,False
571,D142,0.0,False
572,D038,0.0,False
573,D037,0.0,False
574,D036,0.0,False
575,D034,0.0,False
576,D144,0.0,False
577,D772,0.0,False
578,D763,0.0,False
579,D146,0.0,False
580,D032,0.0,False
581,D031,0.0,False
582,D029,0.0,False
583,D761,0.0,False
584,D042,0.0,False
585,D139,0.0,False
586,D138,0.0,False
587,D137,0.0,False
588,D044,0.0,False
589,D085,0.0,False
590,D047,0.0,False
591,D050,0.0,False
592,D051,0.0,False
593,D053,0.0,False
594,D056,0.0,False
595,D057,0.0,False
596,D773,0.0,False
597,D061,0.0,False
598,D765,0.0,False
599,D130,0.0,False
600,D062,0.0,False
601,D091,0.0,False
602,D322,0.0,False
603,D178,0.0,False
604,D506,0.0,False
605,D488,0.0,False
606,D490,0.0,False
607,D498,0.0,False
608,D499,0.0,False
609,D500,0.0,False
610,D501,0.0,False
611,D502,0.0,False
612,D505,0.0,False
613,D507,0.0,False
614,D484,0.0,False
615,D509,0.0,False
616,D510,0.0,False
617,D511,0.0,False
618,D512,0.0,False
619,D669,0.0,False
620,D666,0.0,False
621,D663,0.0,False
622,D522,0.0,False
623,D487,0.0,False
624,D480,0.0,False
625,D525,0.0,False
626,D442,0.0,False
627,D685,0.0,False
628,D684,0.0,False
629,D683,0.0,False
630,D682,0.0,False
631,D680,0.0,False
632,D439,0.0,False
633,D440,0.0,False
634,D677,0.0,False
635,D676,0.0,False
636,D474,0.0,False
637,D452,0.0,False
638,D454,0.0,False
639,D455,0.0,False
640,D458,0.0,False
641,D459,0.0,False
642,D674,0.0,False
643,D465,0.0,False
644,D468,0.0,False
645,D524,0.0,False
646,D661,0.0,False
647,D418,0.0,False
648,D622,0.0,False
649,D596,0.0,False
650,D599,0.0,False
651,D608,0.0,False
652,D609,0.0,False
653,D612,0.0,False
654,D614,0.0,False
655,D618,0.0,False
656,D644,0.0,False
657,D626,0.0,False
658,D592,0.0,False
659,D629,0.0,False
660,D630,0.0,False
661,D634,0.0,False
662,D636,0.0,False
663,D637,0.0,False
664,D639,0.0,False
665,D640,0.0,False
666,D641,0.0,False
667,D595,0.0,False
668,D648,0.0,False
669,D535,0.0,False
670,D657,0.0,False
671,D537,0.0,False
672,D538,0.0,False
673,D541,0.0,False
674,D543,0.0,False
675,D659,0.0,False
676,D658,0.0,False
677,D551,0.0,False
678,D552,0.0,False
679,D561,0.0,False
680,D588,0.0,False
681,D656,0.0,False
682,D568,0.0,False
683,D569,0.0,False
684,D572,0.0,False
685,D654,0.0,False
686,D575,0.0,False
687,D652,0.0,False
688,D586,0.0,False
689,D686,0.0,False
690,D688,0.0,False
691,D750,0.0,False
692,D712,0.0,False
693,D249,0.0,False
694,D251,0.0,False
695,D252,0.0,False
696,D258,0.0,False
697,D259,0.0,False
698,D718,0.0,False
699,D717,0.0,False
700,D716,0.0,False
701,D284,0.0,False
702,D244,0.0,False
703,D287,0.0,False
704,D289,0.0,False
705,D710,0.0,False
706,D292,0.0,False
707,D294,0.0,False
708,D300,0.0,False
709,D308,0.0,False
710,D700,0.0,False
711,D248,0.0,False
712,D722,0.0,False
713,D695,0.0,False
714,D206,0.0,False
715,D743,0.0,False
716,D742,0.0,False
717,D741,0.0,False
718,D738,0.0,False
719,D737,0.0,False
720,D735,0.0,False
721,D734,0.0,False
722,D205,0.0,False
723,D207,0.0,False
724,D241,0.0,False
725,D209,0.0,False
726,D733,0.0,False
727,D216,0.0,False
728,D727,0.0,False
729,D231,0.0,False
730,D726,0.0,False
731,D236,0.0,False
732,D723,0.0,False
733,D697,0.0,False
734,D642,0.0,False
735,D413,0.0,False
736,D395,0.0,False
737,D382,0.0,False
738,D383,0.0,False
739,D384,0.0,False
740,D386,0.0,False
741,D776,0.0,False
742,D390,0.0,False
743,D393,0.0,False
744,D394,0.0,False
745,D396,0.0,False
746,D379,0.0,False
747,D397,0.0,False
748,D398,0.0,False
749,D400,0.0,False
750,D401,0.0,False
751,D690,0.0,False
752,D405,0.0,False
753,D410,0.0,False
754,D411,0.0,False
755,D381,0.0,False
756,D376,0.0,False
757,D325,0.0,False
758,D692,0.0,False
759,D328,0.0,False
760,D331,0.0,False
761,D339,0.0,False
762,D340,0.0,False
763,D341,0.0,False
764,D344,0.0,False
765,D345,0.0,False
766,D693,0.0,False
767,D350,0.0,False
768,D373,0.0,False
769,D352,0.0,False
770,D353,0.0,False
771,D354,0.0,False
772,D358,0.0,False
773,D361,0.0,False
774,D366,0.0,False
775,D691,0.0,False
776,D371,0.0,False
777,D001,0.0,False
