seed,fold,model_name,original_feature_count,selected_feature_count,used_mi,used_scaling,used_median_imputation
42,1,bworf_mi,777,100,True,standard,True
42,2,bworf_mi,777,100,True,standard,True
42,3,bworf_mi,777,100,True,standard,True
42,4,bworf_mi,777,100,True,standard,True
42,5,bworf_mi,777,100,True,standard,True
42,6,bworf_mi,777,100,True,standard,True
42,7,bworf_mi,777,100,True,standard,True
42,8,bworf_mi,777,100,True,standard,True
42,9,bworf_mi,777,100,True,standard,True
42,10,bworf_mi,777,100,True,standard,True
43,1,bworf_mi,777,100,True,standard,True
43,2,bworf_mi,777,100,True,standard,True
43,3,bworf_mi,777,100,True,standard,True
43,4,bworf_mi,777,100,True,standard,True
43,5,bworf_mi,777,100,True,standard,True
43,6,bworf_mi,777,100,True,standard,True
43,7,bworf_mi,777,100,True,standard,True
43,8,bworf_mi,777,100,True,standard,True
43,9,bworf_mi,777,100,True,standard,True
43,10,bworf_mi,777,100,True,standard,True
44,1,bworf_mi,777,100,True,standard,True
44,2,bworf_mi,777,100,True,standard,True
44,3,bworf_mi,777,100,True,standard,True
44,4,bworf_mi,777,100,True,standard,True
44,5,bworf_mi,777,100,True,standard,True
44,6,bworf_mi,777,100,True,standard,True
44,7,bworf_mi,777,100,True,standard,True
44,8,bworf_mi,777,100,True,standard,True
44,9,bworf_mi,777,100,True,standard,True
44,10,bworf_mi,777,100,True,standard,True
45,1,bworf_mi,777,100,True,standard,True
45,2,bworf_mi,777,100,True,standard,True
45,3,bworf_mi,777,100,True,standard,True
45,4,bworf_mi,777,100,True,standard,True
45,5,bworf_mi,777,100,True,standard,True
45,6,bworf_mi,777,100,True,standard,True
45,7,bworf_mi,777,100,True,standard,True
45,8,bworf_mi,777,100,True,standard,True
45,9,bworf_mi,777,100,True,standard,True
45,10,bworf_mi,777,100,True,standard,True
46,1,bworf_mi,777,100,True,standard,True
46,2,bworf_mi,777,100,True,standard,True
46,3,bworf_mi,777,100,True,standard,True
46,4,bworf_mi,777,100,True,standard,True
46,5,bworf_mi,777,100,True,standard,True
46,6,bworf_mi,777,100,True,standard,True
46,7,bworf_mi,777,100,True,standard,True
46,8,bworf_mi,777,100,True,standard,True
46,9,bworf_mi,777,100,True,standard,True
46,10,bworf_mi,777,100,True,standard,True
