dataset,seed,fold,model_name,n_train,n_test,class0_train,class1_train,class2_train,class0_test,class1_test,class2_test,fit_time_sec,predict_time_sec,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,mcc,macro_auroc_ovr,macro_auprc_ovr,log_loss
dili_multiclass,42,1,bworf_mi,516,58,299,91,126,34,10,14,16004.404997607691,0.2600468471646309,0.4310344827586206,0.4277310924369747,0.3965481646641066,0.4277310924369747,0.4479640521619532,0.1423718692255973,0.646539979628215,0.4792047716588883,1.0030649008458512
dili_multiclass,42,2,bworf_mi,516,58,299,91,126,34,10,14,25448.967493139207,0.2405067887157201,0.5,0.4249299719887955,0.4204980842911878,0.4249299719887955,0.5171422909235037,0.1725900676505346,0.6712821492233257,0.4715116734192654,0.9482581040438464
dili_multiclass,42,3,bworf_mi,516,58,299,91,126,34,10,14,19244.18569744751,0.2408811766654253,0.4655172413793103,0.3817927170868347,0.3791666666666666,0.3817927170868347,0.4762931034482758,0.0982296738900926,0.5361607142857142,0.4374126370093222,1.0659353166706418
dili_multiclass,42,4,bworf_mi,516,58,300,90,126,33,11,14,23914.371431598905,0.2461565239354968,0.5,0.455988455988456,0.4484126984126984,0.455988455988456,0.5297619047619048,0.2283538203719742,0.6425292438058395,0.4678193840095473,0.9852532708234054
dili_multiclass,42,5,bworf_mi,517,57,300,91,126,33,10,14,13741.716404901816,0.2463144492357969,0.4561403508771929,0.3913419913419913,0.3858858858858858,0.3913419913419913,0.4852559326243537,0.1481442713549411,0.6283130871639037,0.4855862247020038,1.0209903333690844
dili_multiclass,42,6,bworf_mi,517,57,300,91,126,33,10,14,15427.799541631714,0.2412229031324386,0.4561403508771929,0.4187590187590187,0.4014580191050779,0.4187590187590187,0.4932655923367998,0.2009727847654685,0.5511965273716881,0.4166036363943659,1.0874660549836992
dili_multiclass,42,7,bworf_mi,517,57,300,91,126,33,10,14,32975.83976326324,0.2509828694164753,0.4561403508771929,0.4187590187590187,0.3980832584606169,0.4187590187590187,0.4812156176605034,0.1779375521268439,0.6044074376335633,0.4776214692215744,0.9984906906635772
dili_multiclass,42,8,bworf_mi,517,57,300,91,126,33,10,14,26682.81745494902,0.2442974857985973,0.3859649122807017,0.3235209235209235,0.322875816993464,0.3235209235209235,0.4016511867905057,-0.0087609314588801,0.4996764611311866,0.4047589025142219,1.0753924219317998
dili_multiclass,42,9,bworf_mi,517,57,300,91,126,33,10,14,23948.20077854395,0.2577969543635845,0.4385964912280701,0.4372294372294372,0.4221918432444747,0.4372294372294372,0.4546293964576512,0.1110084180444007,0.5450609330742928,0.3999464675300135,1.0703632535033891
dili_multiclass,42,10,bworf_mi,517,57,300,91,126,33,10,14,27929.46710545011,0.2534384950995445,0.3508771929824561,0.2937950937950938,0.2892617862191899,0.2937950937950938,0.3676802184328607,-0.0431682361933505,0.5178794495222006,0.3689530690802886,1.0769369301426808
dili_multiclass,43,1,bworf_mi,516,58,299,91,126,34,10,14,32158.309317631647,0.2370594292879104,0.5,0.4669467787114845,0.4481481481481481,0.4669467787114845,0.5107279693486589,0.1944454545451266,0.5709824081147611,0.4134678128559319,1.0333418295805132
dili_multiclass,43,2,bworf_mi,516,58,299,91,126,34,10,14,16620.07063288614,0.2455256357789039,0.4310344827586206,0.3857142857142857,0.3791035353535353,0.3857142857142857,0.4389041274817136,0.0432912036378388,0.6093983426704015,0.4523903658612651,1.0062411733363956
dili_multiclass,43,3,bworf_mi,516,58,299,91,126,34,10,14,14620.656855754554,0.2432468961924314,0.4655172413793103,0.4428571428571428,0.4269015613258746,0.4428571428571428,0.4888248453213487,0.161563265604129,0.6333208662252781,0.4702170681868878,1.0629158969765502
dili_multiclass,43,4,bworf_mi,516,58,300,90,126,33,11,14,19454.1579283569,0.2396538313478231,0.4137931034482758,0.3715728715728716,0.3657059314954051,0.3715728715728716,0.4357985480943739,0.0789318574639368,0.5461770439961929,0.4421881939193207,1.0486757202476296
dili_multiclass,43,5,bworf_mi,517,57,300,91,126,33,10,14,23836.06778646633,0.2499730661511421,0.4736842105263157,0.4288600288600288,0.4111351611351611,0.4288600288600288,0.4925634794055846,0.1782538297549851,0.6594613520516538,0.4880605069509086,0.9797934937805464
dili_multiclass,43,6,bworf_mi,517,57,300,91,126,33,10,14,17881.107074270025,0.2327795960009098,0.4210526315789473,0.33001443001443,0.3345679012345678,0.33001443001443,0.4472384665367121,0.0637591808098491,0.5273039203086209,0.4217792383287297,1.0689580384499748
dili_multiclass,43,7,bworf_mi,517,57,300,91,126,33,10,14,16815.79033049196,0.2372168395668268,0.4385964912280701,0.3770562770562771,0.3724589318244103,0.3770562770562771,0.4496851743907334,0.0660628464993339,0.5451242473508678,0.4228050921959917,1.041922240104166
dili_multiclass,43,8,bworf_mi,517,57,300,91,126,33,10,14,19956.62179441005,0.2352418303489685,0.4385964912280701,0.4455988455988455,0.4078282828282828,0.4455988455988455,0.4619218500797448,0.2030060859494142,0.5600373388225937,0.4604320315980024,1.0801946721611375
dili_multiclass,43,9,bworf_mi,517,57,300,91,126,33,10,14,22448.625304250047,0.2498698644340038,0.4035087719298245,0.4075036075036075,0.3836098541980894,0.4075036075036075,0.429202720224392,0.1146251812607069,0.6309516847987902,0.5104672118555041,0.988045637688669
dili_multiclass,43,10,bworf_mi,517,57,300,91,126,33,10,14,23440.803612167016,0.2367115672677755,0.2807017543859649,0.3177489177489177,0.2646733111849391,0.3177489177489177,0.2780206329777933,-0.0020800137381201,0.5423810898266613,0.3955581282453054,1.0774625986505886
dili_multiclass,44,1,bworf_mi,516,58,299,91,126,34,10,14,21642.74053977244,0.2359818555414676,0.293103448275862,0.3352941176470588,0.2878824476650564,0.3352941176470588,0.2977552890221556,0.003133163113592,0.5632941813088872,0.4164252136430122,1.10463229792097
dili_multiclass,44,2,bworf_mi,516,58,299,91,126,34,10,14,27262.70386269689,0.2271108459681272,0.3103448275862069,0.3871148459383753,0.2929530786673643,0.3871148459383753,0.2857774409498547,0.1102705924638526,0.5631941791868263,0.4237155478429433,1.0655394326226797
dili_multiclass,44,3,bworf_mi,516,58,299,91,126,34,10,14,19946.34735057689,0.238735519349575,0.5172413793103449,0.6084033613445379,0.519403541472507,0.6084033613445379,0.5173802101745026,0.3321478050712381,0.7392928762414056,0.5433378364100789,0.9816854538065568
