seed,fold,model_name,original_feature_count,selected_feature_count,used_mi,used_scaling,used_median_imputation
42,1,rf,777,777,False,False,True
42,1,lr,777,777,False,True,True
42,1,svm_rbf,777,777,False,True,True
42,1,xgb,777,777,False,False,True
42,1,naive_bayes,777,777,False,False,True
42,2,rf,777,777,False,False,True
42,2,lr,777,777,False,True,True
42,2,svm_rbf,777,777,False,True,True
42,2,xgb,777,777,False,False,True
42,2,naive_bayes,777,777,False,False,True
42,3,rf,777,777,False,False,True
42,3,lr,777,777,False,True,True
42,3,svm_rbf,777,777,False,True,True
42,3,xgb,777,777,False,False,True
42,3,naive_bayes,777,777,False,False,True
42,4,rf,777,777,False,False,True
42,4,lr,777,777,False,True,True
42,4,svm_rbf,777,777,False,True,True
42,4,xgb,777,777,False,False,True
42,4,naive_bayes,777,777,False,False,True
42,5,rf,777,777,False,False,True
42,5,lr,777,777,False,True,True
42,5,svm_rbf,777,777,False,True,True
42,5,xgb,777,777,False,False,True
42,5,naive_bayes,777,777,False,False,True
42,6,rf,777,777,False,False,True
42,6,lr,777,777,False,True,True
42,6,svm_rbf,777,777,False,True,True
42,6,xgb,777,777,False,False,True
42,6,naive_bayes,777,777,False,False,True
42,7,rf,777,777,False,False,True
42,7,lr,777,777,False,True,True
42,7,svm_rbf,777,777,False,True,True
42,7,xgb,777,777,False,False,True
42,7,naive_bayes,777,777,False,False,True
42,8,rf,777,777,False,False,True
42,8,lr,777,777,False,True,True
42,8,svm_rbf,777,777,False,True,True
42,8,xgb,777,777,False,False,True
42,8,naive_bayes,777,777,False,False,True
42,9,rf,777,777,False,False,True
42,9,lr,777,777,False,True,True
42,9,svm_rbf,777,777,False,True,True
42,9,xgb,777,777,False,False,True
42,9,naive_bayes,777,777,False,False,True
42,10,rf,777,777,False,False,True
42,10,lr,777,777,False,True,True
42,10,svm_rbf,777,777,False,True,True
42,10,xgb,777,777,False,False,True
42,10,naive_bayes,777,777,False,False,True
43,1,rf,777,777,False,False,True
43,1,lr,777,777,False,True,True
43,1,svm_rbf,777,777,False,True,True
43,1,xgb,777,777,False,False,True
43,1,naive_bayes,777,777,False,False,True
43,2,rf,777,777,False,False,True
43,2,lr,777,777,False,True,True
43,2,svm_rbf,777,777,False,True,True
43,2,xgb,777,777,False,False,True
43,2,naive_bayes,777,777,False,False,True
43,3,rf,777,777,False,False,True
43,3,lr,777,777,False,True,True
43,3,svm_rbf,777,777,False,True,True
43,3,xgb,777,777,False,False,True
43,3,naive_bayes,777,777,False,False,True
43,4,rf,777,777,False,False,True
43,4,lr,777,777,False,True,True
43,4,svm_rbf,777,777,False,True,True
43,4,xgb,777,777,False,False,True
43,4,naive_bayes,777,777,False,False,True
43,5,rf,777,777,False,False,True
43,5,lr,777,777,False,True,True
43,5,svm_rbf,777,777,False,True,True
43,5,xgb,777,777,False,False,True
43,5,naive_bayes,777,777,False,False,True
43,6,rf,777,777,False,False,True
43,6,lr,777,777,False,True,True
43,6,svm_rbf,777,777,False,True,True
43,6,xgb,777,777,False,False,True
43,6,naive_bayes,777,777,False,False,True
43,7,rf,777,777,False,False,True
43,7,lr,777,777,False,True,True
43,7,svm_rbf,777,777,False,True,True
43,7,xgb,777,777,False,False,True
43,7,naive_bayes,777,777,False,False,True
43,8,rf,777,777,False,False,True
43,8,lr,777,777,False,True,True
43,8,svm_rbf,777,777,False,True,True
43,8,xgb,777,777,False,False,True
43,8,naive_bayes,777,777,False,False,True
43,9,rf,777,777,False,False,True
43,9,lr,777,777,False,True,True
43,9,svm_rbf,777,777,False,True,True
43,9,xgb,777,777,False,False,True
43,9,naive_bayes,777,777,False,False,True
43,10,rf,777,777,False,False,True
43,10,lr,777,777,False,True,True
43,10,svm_rbf,777,777,False,True,True
43,10,xgb,777,777,False,False,True
43,10,naive_bayes,777,777,False,False,True
44,1,rf,777,777,False,False,True
44,1,lr,777,777,False,True,True
44,1,svm_rbf,777,777,False,True,True
44,1,xgb,777,777,False,False,True
44,1,naive_bayes,777,777,False,False,True
44,2,rf,777,777,False,False,True
44,2,lr,777,777,False,True,True
44,2,svm_rbf,777,777,False,True,True
44,2,xgb,777,777,False,False,True
44,2,naive_bayes,777,777,False,False,True
44,3,rf,777,777,False,False,True
44,3,lr,777,777,False,True,True
44,3,svm_rbf,777,777,False,True,True
44,3,xgb,777,777,False,False,True
44,3,naive_bayes,777,777,False,False,True
44,4,rf,777,777,False,False,True
44,4,lr,777,777,False,True,True
44,4,svm_rbf,777,777,False,True,True
44,4,xgb,777,777,False,False,True
44,4,naive_bayes,777,777,False,False,True
44,5,rf,777,777,False,False,True
44,5,lr,777,777,False,True,True
44,5,svm_rbf,777,777,False,True,True
44,5,xgb,777,777,False,False,True
44,5,naive_bayes,777,777,False,False,True
44,6,rf,777,777,False,False,True
44,6,lr,777,777,False,True,True
44,6,svm_rbf,777,777,False,True,True
44,6,xgb,777,777,False,False,True
44,6,naive_bayes,777,777,False,False,True
44,7,rf,777,777,False,False,True
44,7,lr,777,777,False,True,True
44,7,svm_rbf,777,777,False,True,True
44,7,xgb,777,777,False,False,True
44,7,naive_bayes,777,777,False,False,True
44,8,rf,777,777,False,False,True
44,8,lr,777,777,False,True,True
44,8,svm_rbf,777,777,False,True,True
44,8,xgb,777,777,False,False,True
44,8,naive_bayes,777,777,False,False,True
44,9,rf,777,777,False,False,True
44,9,lr,777,777,False,True,True
44,9,svm_rbf,777,777,False,True,True
44,9,xgb,777,777,False,False,True
44,9,naive_bayes,777,777,False,False,True
44,10,rf,777,777,False,False,True
44,10,lr,777,777,False,True,True
44,10,svm_rbf,777,777,False,True,True
44,10,xgb,777,777,False,False,True
44,10,naive_bayes,777,777,False,False,True
45,1,rf,777,777,False,False,True
45,1,lr,777,777,False,True,True
45,1,svm_rbf,777,777,False,True,True
45,1,xgb,777,777,False,False,True
45,1,naive_bayes,777,777,False,False,True
45,2,rf,777,777,False,False,True
45,2,lr,777,777,False,True,True
45,2,svm_rbf,777,777,False,True,True
45,2,xgb,777,777,False,False,True
45,2,naive_bayes,777,777,False,False,True
45,3,rf,777,777,False,False,True
45,3,lr,777,777,False,True,True
45,3,svm_rbf,777,777,False,True,True
45,3,xgb,777,777,False,False,True
45,3,naive_bayes,777,777,False,False,True
45,4,rf,777,777,False,False,True
45,4,lr,777,777,False,True,True
45,4,svm_rbf,777,777,False,True,True
45,4,xgb,777,777,False,False,True
45,4,naive_bayes,777,777,False,False,True
45,5,rf,777,777,False,False,True
45,5,lr,777,777,False,True,True
45,5,svm_rbf,777,777,False,True,True
45,5,xgb,777,777,False,False,True
45,5,naive_bayes,777,777,False,False,True
45,6,rf,777,777,False,False,True
45,6,lr,777,777,False,True,True
45,6,svm_rbf,777,777,False,True,True
45,6,xgb,777,777,False,False,True
45,6,naive_bayes,777,777,False,False,True
45,7,rf,777,777,False,False,True
45,7,lr,777,777,False,True,True
45,7,svm_rbf,777,777,False,True,True
45,7,xgb,777,777,False,False,True
45,7,naive_bayes,777,777,False,False,True
45,8,rf,777,777,False,False,True
45,8,lr,777,777,False,True,True
45,8,svm_rbf,777,777,False,True,True
45,8,xgb,777,777,False,False,True
45,8,naive_bayes,777,777,False,False,True
45,9,rf,777,777,False,False,True
45,9,lr,777,777,False,True,True
45,9,svm_rbf,777,777,False,True,True
45,9,xgb,777,777,False,False,True
45,9,naive_bayes,777,777,False,False,True
45,10,rf,777,777,False,False,True
45,10,lr,777,777,False,True,True
45,10,svm_rbf,777,777,False,True,True
45,10,xgb,777,777,False,False,True
45,10,naive_bayes,777,777,False,False,True
46,1,rf,777,777,False,False,True
46,1,lr,777,777,False,True,True
46,1,svm_rbf,777,777,False,True,True
46,1,xgb,777,777,False,False,True
46,1,naive_bayes,777,777,False,False,True
46,2,rf,777,777,False,False,True
46,2,lr,777,777,False,True,True
46,2,svm_rbf,777,777,False,True,True
46,2,xgb,777,777,False,False,True
46,2,naive_bayes,777,777,False,False,True
46,3,rf,777,777,False,False,True
46,3,lr,777,777,False,True,True
46,3,svm_rbf,777,777,False,True,True
46,3,xgb,777,777,False,False,True
46,3,naive_bayes,777,777,False,False,True
46,4,rf,777,777,False,False,True
46,4,lr,777,777,False,True,True
46,4,svm_rbf,777,777,False,True,True
46,4,xgb,777,777,False,False,True
46,4,naive_bayes,777,777,False,False,True
46,5,rf,777,777,False,False,True
46,5,lr,777,777,False,True,True
46,5,svm_rbf,777,777,False,True,True
46,5,xgb,777,777,False,False,True
46,5,naive_bayes,777,777,False,False,True
46,6,rf,777,777,False,False,True
46,6,lr,777,777,False,True,True
46,6,svm_rbf,777,777,False,True,True
46,6,xgb,777,777,False,False,True
46,6,naive_bayes,777,777,False,False,True
46,7,rf,777,777,False,False,True
46,7,lr,777,777,False,True,True
46,7,svm_rbf,777,777,False,True,True
46,7,xgb,777,777,False,False,True
46,7,naive_bayes,777,777,False,False,True
46,8,rf,777,777,False,False,True
46,8,lr,777,777,False,True,True
46,8,svm_rbf,777,777,False,True,True
46,8,xgb,777,777,False,False,True
46,8,naive_bayes,777,777,False,False,True
46,9,rf,777,777,False,False,True
46,9,lr,777,777,False,True,True
46,9,svm_rbf,777,777,False,True,True
46,9,xgb,777,777,False,False,True
46,9,naive_bayes,777,777,False,False,True
46,10,rf,777,777,False,False,True
46,10,lr,777,777,False,True,True
46,10,svm_rbf,777,777,False,True,True
46,10,xgb,777,777,False,False,True
46,10,naive_bayes,777,777,False,False,True
42,1,orf_style,777,777,False,True,True
42,1,bworf_no_mi,777,777,False,True,True
