dataset,sample_index,USER_ID,seed,fold,split_role,y_true
dili_multiclass,0,1775,42,1,train,2
dili_multiclass,0,1775,42,2,train,2
dili_multiclass,0,1775,42,3,train,2
dili_multiclass,0,1775,42,4,train,2
dili_multiclass,0,1775,42,5,train,2
dili_multiclass,0,1775,42,6,train,2
dili_multiclass,0,1775,42,7,train,2
dili_multiclass,0,1775,42,8,test,2
dili_multiclass,0,1775,42,9,train,2
dili_multiclass,0,1775,42,10,train,2
dili_multiclass,0,1775,43,1,train,2
dili_multiclass,0,1775,43,2,train,2
dili_multiclass,0,1775,43,3,train,2
dili_multiclass,0,1775,43,4,train,2
dili_multiclass,0,1775,43,5,train,2
dili_multiclass,0,1775,43,6,train,2
dili_multiclass,0,1775,43,7,test,2
dili_multiclass,0,1775,43,8,train,2
dili_multiclass,0,1775,43,9,train,2
dili_multiclass,0,1775,43,10,train,2
dili_multiclass,0,1775,44,1,train,2
dili_multiclass,0,1775,44,2,train,2
dili_multiclass,0,1775,44,3,train,2
dili_multiclass,0,1775,44,4,train,2
dili_multiclass,0,1775,44,5,train,2
dili_multiclass,0,1775,44,6,train,2
dili_multiclass,0,1775,44,7,train,2
dili_multiclass,0,1775,44,8,train,2
dili_multiclass,0,1775,44,9,train,2
dili_multiclass,0,1775,44,10,test,2
dili_multiclass,0,1775,45,1,test,2
dili_multiclass,0,1775,45,2,train,2
dili_multiclass,0,1775,45,3,train,2
dili_multiclass,0,1775,45,4,train,2
dili_multiclass,0,1775,45,5,train,2
dili_multiclass,0,1775,45,6,train,2
dili_multiclass,0,1775,45,7,train,2
dili_multiclass,0,1775,45,8,train,2
dili_multiclass,0,1775,45,9,train,2
dili_multiclass,0,1775,45,10,train,2
dili_multiclass,0,1775,46,1,train,2
dili_multiclass,0,1775,46,2,test,2
dili_multiclass,0,1775,46,3,train,2
dili_multiclass,0,1775,46,4,train,2
dili_multiclass,0,1775,46,5,train,2
dili_multiclass,0,1775,46,6,train,2
dili_multiclass,0,1775,46,7,train,2
dili_multiclass,0,1775,46,8,train,2
dili_multiclass,0,1775,46,9,train,2
dili_multiclass,0,1775,46,10,train,2
dili_multiclass,1,1935,42,1,train,2
dili_multiclass,1,1935,42,2,train,2
dili_multiclass,1,1935,42,3,train,2
dili_multiclass,1,1935,42,4,train,2
dili_multiclass,1,1935,42,5,test,2
dili_multiclass,1,1935,42,6,train,2
dili_multiclass,1,1935,42,7,train,2
dili_multiclass,1,1935,42,8,train,2
dili_multiclass,1,1935,42,9,train,2
dili_multiclass,1,1935,42,10,train,2
dili_multiclass,1,1935,43,1,train,2
dili_multiclass,1,1935,43,2,train,2
dili_multiclass,1,1935,43,3,test,2
dili_multiclass,1,1935,43,4,train,2
dili_multiclass,1,1935,43,5,train,2
dili_multiclass,1,1935,43,6,train,2
dili_multiclass,1,1935,43,7,train,2
dili_multiclass,1,1935,43,8,train,2
dili_multiclass,1,1935,43,9,train,2
dili_multiclass,1,1935,43,10,train,2
dili_multiclass,1,1935,44,1,train,2
dili_multiclass,1,1935,44,2,train,2
dili_multiclass,1,1935,44,3,test,2
dili_multiclass,1,1935,44,4,train,2
dili_multiclass,1,1935,44,5,train,2
dili_multiclass,1,1935,44,6,train,2
dili_multiclass,1,1935,44,7,train,2
dili_multiclass,1,1935,44,8,train,2
dili_multiclass,1,1935,44,9,train,2
dili_multiclass,1,1935,44,10,train,2
dili_multiclass,1,1935,45,1,train,2
dili_multiclass,1,1935,45,2,train,2
dili_multiclass,1,1935,45,3,train,2
dili_multiclass,1,1935,45,4,test,2
dili_multiclass,1,1935,45,5,train,2
dili_multiclass,1,1935,45,6,train,2
dili_multiclass,1,1935,45,7,train,2
dili_multiclass,1,1935,45,8,train,2
dili_multiclass,1,1935,45,9,train,2
dili_multiclass,1,1935,45,10,train,2
dili_multiclass,1,1935,46,1,test,2
dili_multiclass,1,1935,46,2,train,2
