seed,fold,model_name,original_feature_count,selected_feature_count,used_mi,used_scaling,used_median_imputation
42,1,orf_style,777,777,False,True,True
42,1,bworf_no_mi,777,777,False,True,True
42,1,bworf_mi,777,50,True,True,True
42,2,orf_style,777,777,False,True,True
42,2,bworf_no_mi,777,777,False,True,True
42,2,bworf_mi,777,50,True,True,True
42,3,orf_style,777,777,False,True,True
42,3,bworf_no_mi,777,777,False,True,True
42,3,bworf_mi,777,50,True,True,True
42,4,orf_style,777,777,False,True,True
42,4,bworf_no_mi,777,777,False,True,True
42,4,bworf_mi,777,50,True,True,True
42,5,orf_style,777,777,False,True,True
42,5,bworf_no_mi,777,777,False,True,True
42,5,bworf_mi,777,50,True,True,True
42,6,orf_style,777,777,False,True,True
42,6,bworf_no_mi,777,777,False,True,True
42,6,bworf_mi,777,50,True,True,True
42,7,orf_style,777,777,False,True,True
42,7,bworf_no_mi,777,777,False,True,True
42,7,bworf_mi,777,50,True,True,True
42,8,orf_style,777,777,False,True,True
42,8,bworf_no_mi,777,777,False,True,True
42,8,bworf_mi,777,50,True,True,True
42,9,orf_style,777,777,False,True,True
42,9,bworf_no_mi,777,777,False,True,True
42,9,bworf_mi,777,50,True,True,True
42,10,orf_style,777,777,False,True,True
42,10,bworf_no_mi,777,777,False,True,True
42,10,bworf_mi,777,50,True,True,True
43,1,orf_style,777,777,False,True,True
43,1,bworf_no_mi,777,777,False,True,True
43,1,bworf_mi,777,50,True,True,True
43,2,orf_style,777,777,False,True,True
43,2,bworf_no_mi,777,777,False,True,True
43,2,bworf_mi,777,50,True,True,True
43,3,orf_style,777,777,False,True,True
43,3,bworf_no_mi,777,777,False,True,True
43,3,bworf_mi,777,50,True,True,True
43,4,orf_style,777,777,False,True,True
43,4,bworf_no_mi,777,777,False,True,True
43,4,bworf_mi,777,50,True,True,True
43,5,orf_style,777,777,False,True,True
43,5,bworf_no_mi,777,777,False,True,True
43,5,bworf_mi,777,50,True,True,True
43,6,orf_style,777,777,False,True,True
43,6,bworf_no_mi,777,777,False,True,True
43,6,bworf_mi,777,50,True,True,True
43,7,orf_style,777,777,False,True,True
43,7,bworf_no_mi,777,777,False,True,True
43,7,bworf_mi,777,50,True,True,True
43,8,orf_style,777,777,False,True,True
43,8,bworf_no_mi,777,777,False,True,True
43,8,bworf_mi,777,50,True,True,True
43,9,orf_style,777,777,False,True,True
43,9,bworf_no_mi,777,777,False,True,True
43,9,bworf_mi,777,50,True,True,True
43,10,orf_style,777,777,False,True,True
43,10,bworf_no_mi,777,777,False,True,True
43,10,bworf_mi,777,50,True,True,True
44,1,orf_style,777,777,False,True,True
44,1,bworf_no_mi,777,777,False,True,True
44,1,bworf_mi,777,50,True,True,True
44,2,orf_style,777,777,False,True,True
44,2,bworf_no_mi,777,777,False,True,True
44,2,bworf_mi,777,50,True,True,True
44,3,orf_style,777,777,False,True,True
44,3,bworf_no_mi,777,777,False,True,True
44,3,bworf_mi,777,50,True,True,True
44,4,orf_style,777,777,False,True,True
44,4,bworf_no_mi,777,777,False,True,True
44,4,bworf_mi,777,50,True,True,True
44,5,orf_style,777,777,False,True,True
44,5,bworf_no_mi,777,777,False,True,True
44,5,bworf_mi,777,50,True,True,True
44,6,orf_style,777,777,False,True,True
44,6,bworf_no_mi,777,777,False,True,True
44,6,bworf_mi,777,50,True,True,True
44,7,orf_style,777,777,False,True,True
44,7,bworf_no_mi,777,777,False,True,True
44,7,bworf_mi,777,50,True,True,True
44,8,orf_style,777,777,False,True,True
44,8,bworf_no_mi,777,777,False,True,True
44,8,bworf_mi,777,50,True,True,True
44,9,orf_style,777,777,False,True,True
44,9,bworf_no_mi,777,777,False,True,True
44,9,bworf_mi,777,50,True,True,True
44,10,orf_style,777,777,False,True,True
44,10,bworf_no_mi,777,777,False,True,True
44,10,bworf_mi,777,50,True,True,True
45,1,orf_style,777,777,False,True,True
45,1,bworf_no_mi,777,777,False,True,True
45,1,bworf_mi,777,50,True,True,True
45,2,orf_style,777,777,False,True,True
45,2,bworf_no_mi,777,777,False,True,True
45,2,bworf_mi,777,50,True,True,True
45,3,orf_style,777,777,False,True,True
45,3,bworf_no_mi,777,777,False,True,True
45,3,bworf_mi,777,50,True,True,True
45,4,orf_style,777,777,False,True,True
