dataset_name,seed,fold_id,model,task_type,n_train,n_test,n_classes,accuracy,balanced_accuracy,f1_pos,precision_pos,recall_pos,mcc,auroc,auprc,log_loss,brier,fit_seconds,pred_seconds,model_params_json,notes
breast_cancer,42,0,bworf_no_mi,binary,244,28,2,0.7142857142857143,0.6125,0.42857142857142855,0.5,0.375,0.24771684715343115,0.621875,0.4342837309749074,0.631715678147201,0.2217080357142857,44.85557351820171,0.040129540488123894,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":42}",
breast_cancer,42,1,bworf_no_mi,binary,244,28,2,0.6071428571428571,0.5935672514619883,0.47619047619047616,0.4166666666666667,0.5555555555555556,0.17660431427533918,0.5029239766081872,0.3281345847135321,0.725831587066821,0.26456964285714285,43.86562287993729,0.039951497688889503,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":42}",
breast_cancer,42,2,bworf_no_mi,binary,245,27,2,0.5925925925925926,0.5296052631578947,0.35294117647058826,0.3333333333333333,0.375,0.057353933467640436,0.625,0.39773077918458355,0.6940450394966932,0.244437037037037,46.16868233308196,0.038714900612831116,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":42}",
breast_cancer,42,3,bworf_no_mi,binary,245,27,2,0.5925925925925926,0.6019736842105263,0.47619047619047616,0.38461538461538464,0.625,0.18638210221950421,0.736842105263158,0.6084325396825396,0.6275871545873379,0.2219101851851852,46.714662028476596,0.04047120735049248,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":42}",pred_mismatch_rate=0.037
breast_cancer,42,4,bworf_no_mi,binary,245,27,2,0.6296296296296297,0.6644736842105263,0.5454545454545454,0.42857142857142855,0.75,0.30061629390242617,0.7171052631578948,0.4809027777777778,0.6394138158044603,0.22329444444444443,46.75612748414278,0.039478546008467674,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":42}",
breast_cancer,42,5,bworf_no_mi,binary,245,27,2,0.5185185185185185,0.4407894736842105,0.23529411764705882,0.2222222222222222,0.25,-0.11470786693528087,0.5230263157894737,0.4027294263707307,0.6375363425555368,0.23127129629629634,44.5469861458987,0.03934749960899353,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":42}",pred_mismatch_rate=0.037
breast_cancer,42,6,bworf_no_mi,binary,245,27,2,0.7407407407407407,0.6710526315789473,0.5333333333333333,0.5714285714285714,0.5,0.3564655231196031,0.7730263157894737,0.6723573403720462,0.4975865940155026,0.17040370370370372,45.74373866803944,0.038377683609724045,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":42}",pred_mismatch_rate=0.037
breast_cancer,42,7,bworf_no_mi,binary,245,27,2,0.5185185185185185,0.4407894736842105,0.23529411764705882,0.2222222222222222,0.25,-0.11470786693528087,0.5328947368421053,0.3347363437001595,0.7414847120857928,0.27235740740740744,43.544696452096105,0.03805209882557392,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":42}",
breast_cancer,42,8,bworf_no_mi,binary,245,27,2,0.5555555555555556,0.5032894736842105,0.3333333333333333,0.3,0.375,0.006220907522417994,0.375,0.2667729419703104,1.038996827034336,0.3435157407407408,42.6840388327837,0.03780521638691425,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":42}",pred_mismatch_rate=0.037
breast_cancer,42,9,bworf_no_mi,binary,245,27,2,0.5925925925925926,0.5296052631578947,0.35294117647058826,0.3333333333333333,0.375,0.057353933467640436,0.5822368421052632,0.46844912334042765,0.697348218248271,0.24450833333333336,44.63809158280492,0.03802403621375561,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":42}",pred_mismatch_rate=0.037
breast_cancer,43,0,bworf_no_mi,binary,244,28,2,0.5714285714285714,0.5125,0.3333333333333333,0.3,0.375,0.023570226039551584,0.565625,0.4959752704389432,0.6533157939150154,0.23537767857142858,45.42934397235513,0.039717236533761024,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
breast_cancer,43,1,bworf_no_mi,binary,244,28,2,0.75,0.7280701754385965,0.631578947368421,0.6,0.6666666666666666,0.4445906192369001,0.7836257309941521,0.700038904450669,0.5421140653325253,0.18597410714285714,45.400702660903335,0.04119531810283661,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",pred_mismatch_rate=0.071
breast_cancer,43,2,bworf_no_mi,binary,245,27,2,0.5185185185185185,0.4407894736842105,0.23529411764705882,0.2222222222222222,0.25,-0.11470786693528087,0.5098684210526316,0.3397767857142857,0.6999628837995113,0.25174444444444444,45.00449842214584,0.03915002755820751,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
breast_cancer,43,3,bworf_no_mi,binary,245,27,2,0.7037037037037037,0.6085526315789473,0.42857142857142855,0.5,0.375,0.238455241619133,0.6513157894736842,0.4899420024420025,0.5971983100326791,0.20950370370370366,44.8674009591341,0.03844228573143482,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
breast_cancer,43,4,bworf_no_mi,binary,245,27,2,0.6296296296296297,0.555921052631579,0.375,0.375,0.375,0.1118421052631579,0.5822368421052632,0.49209656084656084,0.7217989757330571,0.23948796296296296,45.545985313132405,0.03907328471541405,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
breast_cancer,43,5,bworf_no_mi,binary,245,27,2,0.7407407407407407,0.743421052631579,0.631578947368421,0.5454545454545454,0.75,0.4524322889411796,0.8289473684210527,0.5915334665334665,0.47832679992134153,0.15799722222222223,46.550245678052306,0.03840393200516701,"{""n_estimators"":100,""max_depth"":6,""min_samples_split"":10,""min_samples_leaf"":1,""l1_strength"":0.2,""weighted_bootstrap"":true,""bootstrap_temperature"":1.0,""n_tries"":10,""top_k_features"":0,""random_state"":43}",
