scenario_id,scenario_json,method,seed,replicate,n_samples,p,m,h2,rho,signal_ratio,maf_type,case_control_ratio,n_features,n_causal_snps,auc,auprc,f1,balanced_acc,brier,mean_rank_causal,median_rank_causal,recall_at_20,fit_seconds,perm_seconds,status,error_msg
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",rf,42,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.425158,0.889306,0.951049,0.500000,0.087492,554.500000,569.000000,0.000000,0.555654,21.816958,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",orf,42,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.397584,0.876972,0.951049,0.500000,0.086955,525.800000,590.500000,0.000000,1.375745,40.000309,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_uniform,42,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.394170,0.891647,0.951049,0.500000,0.095620,475.200000,369.000000,0.000000,87.488854,376.569407,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_weighted,42,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.381565,0.885475,0.880597,0.433824,0.155083,425.700000,373.000000,0.000000,79.534351,378.509808,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",rf,0,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.508141,0.915814,0.951049,0.500000,0.086001,384.900000,295.000000,0.000000,0.564847,21.270791,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",orf,0,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.434349,0.883244,0.951049,0.500000,0.086302,498.700000,487.000000,0.000000,1.655009,43.567971,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_uniform,0,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.523897,0.920588,0.951049,0.500000,0.093926,494.000000,490.500000,0.000000,84.979042,387.105455,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_weighted,0,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.464811,0.904771,0.928571,0.477941,0.125058,613.800000,823.000000,0.000000,77.696436,390.919149,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",rf,12,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.372637,0.871832,0.951049,0.500000,0.087423,377.700000,386.500000,0.100000,0.571825,22.429067,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",orf,12,0,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.541492,0.919925,0.951049,0.500000,0.084588,401.800000,415.500000,0.000000,1.503108,41.535074,ok,
