scenario_id,scenario_json,method,seed,replicate,n_samples,p,m,h2,rho,signal_ratio,maf_type,case_control_ratio,n_features,n_causal_snps,auc,brier,accuracy,balanced_accuracy,mean_rank_causal,median_rank_causal,recall_at_20,fit_seconds,perm_seconds,status,error_msg
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,42,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.487733,0.254326,0.513333,0.513333,330.250000,317.500000,0.000000,0.190607,7.298403,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,42,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.531911,0.251058,0.506667,0.506667,398.250000,293.500000,0.000000,0.841513,11.752336,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,42,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.397422,0.335965,0.426667,0.426667,637.000000,549.500000,0.000000,28.373321,66.631214,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,0,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.629244,0.240318,0.580000,0.580000,407.250000,459.500000,0.000000,0.193719,7.154338,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,0,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.517333,0.251175,0.506667,0.506667,400.500000,440.000000,0.000000,0.844475,11.571872,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,0,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.526844,0.283587,0.486667,0.486667,499.750000,495.500000,0.000000,28.627009,68.152780,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,12,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.512267,0.252773,0.500000,0.500000,570.250000,619.000000,0.000000,0.189625,7.016689,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,12,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.487556,0.253003,0.480000,0.480000,712.750000,890.000000,0.000000,0.842221,11.618510,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,12,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.481600,0.311832,0.493333,0.493333,422.750000,286.500000,0.000000,28.730319,66.235976,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,100,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.484444,0.253499,0.540000,0.540000,487.250000,475.000000,0.000000,0.192239,7.245555,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,100,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.544444,0.248823,0.513333,0.513333,673.000000,682.500000,0.000000,0.855126,11.712175,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,100,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.475644,0.314208,0.486667,0.486667,546.750000,526.500000,0.000000,28.116296,66.278294,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,90,0,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.413867,0.261119,0.426667,0.426667,325.000000,272.000000,0.000000,0.194417,7.283186,ok,
