scenario_id,scenario_json,method,seed,replicate,n_samples,p,m,h2,rho,signal_ratio,maf_type,case_control_ratio,n_features,n_causal_snps,auc,brier,accuracy,balanced_accuracy,mean_rank_causal,median_rank_causal,recall_at_20,fit_seconds,perm_seconds,status,error_msg
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,42,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.521422,0.254326,0.520000,0.520000,465.250000,432.000000,0.000000,0.158371,5.255060,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,42,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.459733,0.260477,0.473333,0.473333,435.750000,471.000000,0.250000,0.921020,9.213276,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,42,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.486844,0.324411,0.460000,0.460000,534.750000,553.500000,0.000000,31.805787,74.918850,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,0,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.558933,0.245633,0.513333,0.513333,274.750000,229.000000,0.000000,0.161500,5.200078,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,0,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.556800,0.248635,0.560000,0.560000,227.250000,227.000000,0.000000,0.947465,9.274026,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,0,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.520267,0.291167,0.473333,0.473333,310.750000,309.500000,0.000000,33.219138,75.306949,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,12,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.532356,0.251934,0.540000,0.540000,580.500000,628.000000,0.000000,0.165066,5.187504,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,12,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.569067,0.247629,0.553333,0.553333,609.000000,697.500000,0.000000,0.965430,9.093385,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,12,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.506667,0.304784,0.486667,0.486667,408.000000,406.000000,0.000000,33.325665,76.005930,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,100,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.439467,0.260962,0.460000,0.460000,600.000000,582.500000,0.000000,0.160077,5.168007,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,100,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.494400,0.254159,0.500000,0.500000,256.000000,256.500000,0.000000,0.992478,9.523439,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,100,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.495289,0.306320,0.486667,0.486667,362.500000,367.500000,0.000000,32.561453,76.055381,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,90,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.432533,0.260253,0.460000,0.460000,410.000000,474.000000,0.000000,0.157913,5.269147,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,90,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.499200,0.254418,0.520000,0.520000,148.500000,149.500000,0.250000,1.001491,9.203509,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,90,0,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.481867,0.311695,0.460000,0.460000,433.000000,409.000000,0.000000,32.949741,75.866812,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,42,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.477244,0.255161,0.440000,0.440000,509.250000,493.000000,0.000000,0.160375,5.239855,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,42,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.529778,0.249447,0.500000,0.500000,727.750000,755.500000,0.000000,0.974490,9.211285,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,42,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.541067,0.302221,0.520000,0.520000,521.000000,417.000000,0.000000,31.798137,76.403631,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,0,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.518756,0.252184,0.493333,0.493333,381.500000,404.500000,0.000000,0.159092,5.179558,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,0,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.495378,0.254847,0.493333,0.493333,213.750000,211.500000,0.000000,0.906996,9.125207,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,0,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.566667,0.285723,0.566667,0.566667,517.500000,546.000000,0.000000,31.679563,74.958106,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,12,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.581778,0.245708,0.560000,0.560000,341.500000,256.000000,0.000000,0.158469,5.232977,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,12,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.558400,0.247645,0.540000,0.540000,461.750000,392.000000,0.000000,0.933907,9.266265,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,12,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.546489,0.294123,0.540000,0.540000,620.750000,588.500000,0.000000,31.926227,75.360459,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,100,1,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.549956,0.249101,0.533333,0.533333,548.000000,588.000000,0.000000,0.163127,5.250501,ok,
